Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Bipolaris sorokiniana isolate Yt-6 Contig00010,869,2304,100%,0.0,86.73,1956542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000010.1?report=genbank&log$=nucltop&blast_rank=1&RID=UFZ7FK8C014"",""JBBEUP010000010.1"")"
Bipolaris sorokiniana strain BRIP10943a chromosome 9,862,1379,100%,0.0,85.92,2084447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000009"",""SRZH01000009.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000241.668248,862,1379,100%,0.0,85.92,668248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000014"",""RCTM01000014.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000228.1880955,862,1379,100%,0.0,85.92,1880955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000005"",""RCTM01000005.1"")"
Bipolaris sorokiniana strain HD 3091 contig_502,862,1379,100%,0.0,85.92,50427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFT010000187.1?report=genbank&log$=nucltop&blast_rank=5&RID=UFZ7FK8C014"",""JBJRFT010000187.1"")"
Bipolaris sorokiniana strain RAJ 3972 contig_440,862,1379,100%,0.0,85.92,954422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFR010000207.1?report=genbank&log$=nucltop&blast_rank=6&RID=UFZ7FK8C014"",""JBJRFR010000207.1"")"
Bipolaris sorokiniana strain Black contig_508_pilon,862,1379,100%,0.0,85.92,23436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFO010000190.1?report=genbank&log$=nucltop&blast_rank=7&RID=UFZ7FK8C014"",""JBJRFO010000190.1"")"
Bipolaris sorokiniana strain HI 1538 contig_564_pilon,862,1379,100%,0.0,85.92,50978,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFN010000251.1?report=genbank&log$=nucltop&blast_rank=8&RID=UFZ7FK8C014"",""JBJRFN010000251.1"")"
Bipolaris sorokiniana strain MP 1261 contig_159_pilon,862,1944,100%,0.0,85.92,1170245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFM010000023.1?report=genbank&log$=nucltop&blast_rank=9&RID=UFZ7FK8C014"",""JBJRFM010000023.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00001,862,1379,100%,0.0,85.92,3926704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000001.1?report=genbank&log$=nucltop&blast_rank=10&RID=UFZ7FK8C014"",""JBBEUP010000001.1"")"
Bipolaris sorokiniana strain ND93-1 chromosome 6,862,1379,100%,0.0,85.92,2215954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JASPLA010000006.1?report=genbank&log$=nucltop&blast_rank=11&RID=UFZ7FK8C014"",""JASPLA010000006.1"")"
Bipolaris sp. L1-2 Contig00005,862,1379,100%,0.0,85.92,2295453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANTPY010000005.1?report=genbank&log$=nucltop&blast_rank=12&RID=UFZ7FK8C014"",""JANTPY010000005.1"")"
Bipolaris sorokiniana ND90Pr COCSAscaffold_5_Cont133,862,1379,100%,0.0,85.92,22521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AEIN01000133"",""AEIN01000133.1"")"
