Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Parastagonospora avenae f. sp. tritici strain SN11IR_6_1.1 ctg00323,591,1116,100%,0.0,87.72,27662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWY01000323"",""QVWY01000323.1"")"
Parastagonospora nodorum strain B2.1b ctg02963,82.4,82.4,14%,5e-16,54.44,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWA01002962"",""QVWA01002962.1"")"
Parastagonospora nodorum strain Sn Cp2052 ctg03144,94.4,94.4,19%,3e-20,52.89,468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWF01003109"",""QVWF01003109.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg05311,266,385,72%,6e-98,47.01,3417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01004988"",""QVWJ01004988.1"")"
Parastagonospora nodorum strain B2.1b ctg05750,69.3,69.3,13%,3e-12,46.43,261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWA01005749"",""QVWA01005749.1"")"
Parastagonospora nodorum strain BRSn9870 ctg00743,263,469,96%,1e-116,45.81,9558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWG01000741"",""QVWG01000741.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg08347,96.3,131,26%,7e-22,41.13,1571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01007671"",""QVWJ01007671.1"")"
Parastagonospora nodorum strain 203FG213 scaffold0201,59.3,59.3,12%,1e-06,40.79,4751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIJ010000201.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYXP0C0R014"",""JAIRIJ010000201.1"")"
Parastagonospora nodorum strain 15FG28 scaffold0145,59.3,59.3,12%,1e-06,40.79,5484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIY010000146.1?report=genbank&log$=nucltop&blast_rank=9&RID=YYXP0C0R014"",""JAIRIY010000146.1"")"
Parastagonospora nodorum strain 202FG414 scaffold0134,59.3,59.3,12%,1e-06,40.79,5644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIK010000136.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYXP0C0R014"",""JAIRIK010000136.1"")"
Parastagonospora nodorum strain 15FG105 scaffold0158,59.3,59.3,12%,1e-06,40.79,5701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRFY010000158.1?report=genbank&log$=nucltop&blast_rank=11&RID=YYXP0C0R014"",""JAIRFY010000158.1"")"
Parastagonospora nodorum strain 14FG141 scaffold0134,59.3,59.3,12%,1e-06,40.79,5753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRJP010000134.1?report=genbank&log$=nucltop&blast_rank=12&RID=YYXP0C0R014"",""JAIRJP010000134.1"")"
Parastagonospora nodorum strain 16FG159 scaffold0137,59.3,59.3,12%,1e-06,40.79,5753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRFS010000137.1?report=genbank&log$=nucltop&blast_rank=13&RID=YYXP0C0R014"",""JAIRFS010000137.1"")"
Parastagonospora avenae f. sp. tritici strain Jansen 4_55 ctg00185,75.1,75.1,32%,2e-11,28.76,10692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWU01000185"",""QVWU01000185.1"")"
Parastagonospora avenae f. sp. tritici strain IR10_5.2b ctg00930,74.7,74.7,32%,2e-11,28.76,4777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWS01000930"",""QVWS01000930.1"")"
Parastagonospora avenae f. sp. tritici strain SN11IR_7_2.3 ctg00663,49.3,49.3,24%,0.002,27.33,14145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWZ01000663"",""QVWZ01000663.1"")"



		


