#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	1	60001	60001	NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	1	60001	60001	60001/60001	100.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11404	38774	27371	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	3096	30952	27857	15760/23880	66.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11450	27145	15696	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	15372	30857	15486	8936/13346	67.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11772	38799	27028	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	5867	31617	25751	15157/22734	66.7%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11822	27989	16168	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	6609	23532	16924	9624/14415	66.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11832	27093	15262	SN15_Chr05_Horiz	+	39755	55169	15415	8901/13338	66.7%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11832	39188	27357	SN15_Chr05_Horiz	+	29873	58647	28775	16398/24321	67.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	11864	27442	15579	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	5148	20541	15394	8995/13550	66.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12409	28228	15820	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	19905	35575	15671	10376/13990	74.2%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12409	26984	14576	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	31607	45924	14318	9624/12899	74.6%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12773	38964	26192	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	19511	45856	26346	18068/23972	75.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12773	38964	26192	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	8507	34154	25648	17900/23644	75.7%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12805	27348	14544	NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	19511	35775	16265	8855/13029	68.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12822	38774	25953	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	18308	42654	24347	14435/21684	66.6%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12828	23760	10933	NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	27752	38818	11067	6368/9573	66.5%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12871	46428	33558	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	10198	45459	35262	23946/30953	77.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12910	33920	21011	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	6	21252	21247	12110/18251	66.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12949	39197	26249	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	9694	37677	27984	15585/23319	66.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12957	23720	10764	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	26271	37777	11507	6439/9601	67.1%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12957	23720	10764	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	37973	49479	11507	6436/9599	67.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	13779	46428	32650	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	23096	57161	34066	23311/30086	77.5%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	13932	46428	32497	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	25103	55811	30709	21651/28273	76.6%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	13988	37962	23975	NODE_59_length_56868_cov_8.276978_Canada_2005_CASSILS	+	808	24622	23815	13752/20803	66.1%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	14300	27145	12846	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	29642	42559	12918	7467/11021	67.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	14577	17110	2534	SN15_Chr05_Horiz	+	395	3041	2647	1534/2291	67.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	14735	39197	24463	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	23558	49379	25822	14519/21724	66.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	14978	37962	22985	NODE_52_length_85877_cov_11.983382_NewYork_1991_NY_330	+	14250	36324	22075	12900/19461	66.3%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	16318	39496	23179	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	360	22869	22510	15057/20616	73.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	16439	39215	22777	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	11687	34399	22713	15995/20780	77.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	17302	36189	18888	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	1656	20717	19062	11480/16699	68.7%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	17859	35775	17917	SN15_Chr05_Horiz	+	28895	46922	18028	10315/15648	65.9%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	18788	39223	20436	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	49544	69713	20170	11733/17484	67.1%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	19511	35775	16265	NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	12805	27348	14544	8855/13029	68.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	21498	38017	16520	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	1684	18637	16954	10277/14726	69.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	21622	27108	5487	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	87034	92467	5434	3212/4785	67.1%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	22216	46428	24213	SN15_Chr05_Horiz	+	919	25452	24534	19170/22748	84.3%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	22715	24151	1437	SN15_Chr05_Horiz	+	16796	18137	1342	867/1235	70.2%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	22726	24151	1426	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	47167	48495	1329	864/1220	70.8%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	23393	28729	5337	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	25053	30247	5195	3067/4611	66.5%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	23393	24151	759	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	95	855	761	491/696	70.5%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	23517	30628	7112	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	12154	19040	6887	5259/6577	80.0%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	24723	39225	14503	SN15_Chr05_Horiz	+	44202	59032	14831	11380/13932	81.7%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	24926	27093	2168	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	28219	30495	2277	1340/1960	68.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	24930	39068	14139	NODE_5_length_1342165_cov_13.583453_Iran_2005-2010_IR_B3.1A	+	11774	25785	14012	8997/12600	71.4%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	25444	34090	8647	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	59307	67897	8591	5870/7836	74.9%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	26138	36599	10462	NODE_81_length_99272_cov_6.305068_China_2001_CHI_20A	+	11434	21974	10541	9071/10243	88.6%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	26151	27186	1036	SN15_Chr05_Horiz	+	39	1004	966	628/886	70.9%
NODE_10_length_1230314_cov_6.729976_SouthAfrica_1995_SA_134	+	26573	39330	12758	NODE_56_length_112162_cov_9.047351_Texas_1992_TX_XA2.4	+	48494	61342	12849	10378/12257	84.7%
