Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Parastagonospora avenae f. sp. tritici 18332-5 NODE_398_length_2427_cov_42.065292,223,689,55%,3e-176,87.50,2427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000396.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYXFH9VA016"",""JAFJTR010000396.1"")"
Parastagonospora avenae f. sp. tritici 18332-5 NODE_128_length_61836_cov_44.907673,796,1334,100%,0.0,79.43,61836,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000127.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYXFH9VA016"",""JAFJTR010000127.1"")"
Parastagonospora avenae f. sp. tritici 18332-5 NODE_132_length_54572_cov_43.337617,781,1182,92%,0.0,78.62,54572,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000131.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYXFH9VA016"",""JAFJTR010000131.1"")"
Parastagonospora avenae f. sp. tritici strain Hartney99 ctg00170,778,1179,92%,0.0,78.41,43416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWT01000170"",""QVWT01000170.1"")"
Parastagonospora avenae f. sp. tritici 18332-5 NODE_221_length_11467_cov_59.611013,954,1222,98%,0.0,76.57,11467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000220.1?report=genbank&log$=nucltop&blast_rank=5&RID=YYXFH9VA016"",""JAFJTR010000220.1"")"
Parastagonospora avenae f. sp. tritici strain Hartney99 ctg00778,746,1284,100%,0.0,76.33,15355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWT01000778"",""QVWT01000778.1"")"
Parastagonospora avenae f. sp. tritici strain SN11IR_6_1.1 ctg00323,348,505,46%,2e-134,72.05,27662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWY01000323"",""QVWY01000323.1"")"
Parastagonospora avenae f. sp. tritici 18332-5 NODE_58_length_204453_cov_42.302005,124,240,24%,8e-55,56.00,204453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000058.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYXFH9VA016"",""JAFJTR010000058.1"")"
Parastagonospora avenae f. sp. tritici strain Hartney99 ctg01772,124,240,24%,8e-55,56.00,3238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWT01001772"",""QVWT01001772.1"")"
Parastagonospora avenae f. sp. tritici strain Jansen 4_55 ctg05313,124,240,24%,8e-55,56.00,2186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWU01005313"",""QVWU01005313.1"")"
Parastagonospora avenae f. sp. tritici strain SN11IR_2_1.1 ctg11902,62.0,62.0,9%,3e-10,52.63,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWV01011794"",""QVWV01011794.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg05311,79.0,79.0,11%,4e-13,49.44,3417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01004988"",""QVWJ01004988.1"")"
Parastagonospora nodorum strain Sn Cp2052 ctg01279,82.8,82.8,11%,3e-14,46.07,4358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWF01001277"",""QVWF01001277.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg00745,204,204,33%,2e-52,45.14,11004,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01000745"",""QVWJ01000745.1"")"
