Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis isolate Biotrigo9-1 KJE20_contig_00027,683,1196,86%,0.0,89.68,49490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000027.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYXX1A53014"",""JAHCYZ010000027.1"")"
Pyrenophora seminiperda CCB06 contig01148,840,1023,74%,0.0,83.88,15740,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/ATLS01000625"",""ATLS01000625.1"")"
Pyrenophora tritici-repentis strain Alg130 Alg130_scaffold_00635,643,1395,100%,0.0,83.12,12190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHN01000635"",""RXHN01000635.1"")"
Pyrenophora tritici-repentis strain T199 scaffold_00630,643,1395,100%,0.0,83.12,11729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHM01000630"",""RXHM01000630.1"")"
Pyrenophora tritici-repentis strain T205 scaffold_00643,643,1395,100%,0.0,83.12,11786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHL01000642"",""RXHL01000642.1"")"
Pyrenophora tritici-repentis strain 331-2 contig00677,643,1395,100%,0.0,83.12,11027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYI010000677.1?report=genbank&log$=nucltop&blast_rank=6&RID=YYXX1A53014"",""JAMBYI010000677.1"")"
Pyrenophora tritici-repentis strain SC29-1 contig00614,643,1395,100%,0.0,83.12,11410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYF010000614.1?report=genbank&log$=nucltop&blast_rank=7&RID=YYXX1A53014"",""JAMBYF010000614.1"")"
Pyrenophora tritici-repentis isolate V0001 V1_contig_00012,832,1919,100%,0.0,83.06,1424541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SAXQ01000012"",""SAXQ01000012.1"")"
Pyrenophora tritici-repentis strain Alg215 Alg215_scaffold_00479,832,1388,100%,0.0,83.06,17948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHK01000479"",""RXHK01000479.1"")"
Pyrenophora tritici-repentis strain CC142 CC142_scaffold_00573,832,1388,100%,0.0,83.06,16731,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOU01000573"",""PSOU01000573.1"")"
Pyrenophora tritici-repentis strain EW306-2-1 EW13061_scaffold_00530,832,1388,100%,0.0,83.06,17624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOT01000530"",""PSOT01000530.1"")"
Pyrenophora tritici-repentis strain EW4-4 EW4_scaffold_00526,832,1388,100%,0.0,83.06,18390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOS01000526"",""PSOS01000526.1"")"
Pyrenophora tritici-repentis strain EW7m1 EW7m1_scaffold_00614,832,1388,100%,0.0,83.06,13762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOR01000614"",""PSOR01000614.1"")"
