Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis isolate V0001 V1_contig_00012,594,1125,100%,0.0,88.02,1424541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SAXQ01000012"",""SAXQ01000012.1"")"
Pyrenophora tritici-repentis strain T199 scaffold_00016,594,1125,100%,0.0,88.02,178788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHM01000016"",""RXHM01000016.1"")"
Pyrenophora tritici-repentis strain Alg215 Alg215_scaffold_00022,594,1125,100%,0.0,88.02,151401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHK01000022"",""RXHK01000022.1"")"
Pyrenophora tritici-repentis strain CC142 CC142_scaffold_00736,594,1125,100%,0.0,88.02,11016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOU01000736"",""PSOU01000736.1"")"
Pyrenophora tritici-repentis strain EW306-2-1 EW13061_scaffold_00060,594,1125,100%,0.0,88.02,92806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOT01000060"",""PSOT01000060.1"")"
Pyrenophora tritici-repentis strain EW4-4 EW4_scaffold_00310,594,1125,100%,0.0,88.02,34238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOS01000310"",""PSOS01000310.1"")"
Pyrenophora tritici-repentis strain SN001C SN001C_scaffold_00309,594,1125,100%,0.0,88.02,33830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOP01000309"",""PSOP01000309.1"")"
Pyrenophora tritici-repentis strain SN002B SN002B_scaffold_00305,594,1125,100%,0.0,88.02,33874,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOO01000305"",""PSOO01000305.1"")"
Pyrenophora tritici-repentis strain 86-124 chromosome 6 PTR86124_contig_00017,594,1125,100%,0.0,88.02,874950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/NRDI02000017"",""NRDI02000017.1"")"
Pyrenophora tritici-repentis strain M4 chromosome 6,594,1125,100%,0.0,88.02,3057012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/NQIK02000006"",""NQIK02000006.1"")"
Pyrenophora tritici-repentis strain 5213 5213_00015,594,1125,100%,0.0,88.02,161347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBI01000015"",""MVBI01000015.1"")"
Pyrenophora tritici-repentis strain 239 239_00028,594,1125,100%,0.0,88.02,153331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBH01000028"",""MVBH01000028.1"")"
Pyrenophora tritici-repentis strain 11137 11137_00011,594,1125,100%,0.0,88.02,255779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBG01000011"",""MVBG01000011.1"")"
Pyrenophora tritici-repentis strain 134 chromosome 6 ptr134_contig_00005,594,1125,100%,0.0,88.02,2687279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBF02000005"",""MVBF02000005.1"")"
Pyrenophora tritici-repentis strain ASC1 contig00077,594,1125,100%,0.0,88.02,95365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYY010000077.1?report=genbank&log$=nucltop&blast_rank=15&RID=UFY6UFAB014"",""JAMBYY010000077.1"")"
Pyrenophora tritici-repentis strain I-33-1 contig00556,594,1125,100%,0.0,88.02,11365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYX010000556.1?report=genbank&log$=nucltop&blast_rank=16&RID=UFY6UFAB014"",""JAMBYX010000556.1"")"
Pyrenophora tritici-repentis strain L3-1 contig00090,594,1125,100%,0.0,88.02,95368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYW010000090.1?report=genbank&log$=nucltop&blast_rank=17&RID=UFY6UFAB014"",""JAMBYW010000090.1"")"
Pyrenophora tritici-repentis strain L4-1 contig00080,594,1125,100%,0.0,88.02,95350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYV010000080.1?report=genbank&log$=nucltop&blast_rank=18&RID=UFY6UFAB014"",""JAMBYV010000080.1"")"
Pyrenophora tritici-repentis strain SW20-7 contig00087,594,1125,100%,0.0,88.02,95345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYU010000087.1?report=genbank&log$=nucltop&blast_rank=19&RID=UFY6UFAB014"",""JAMBYU010000087.1"")"
Pyrenophora tritici-repentis strain SW2-1 contig00017,594,1125,100%,0.0,88.02,196037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYT010000017.1?report=genbank&log$=nucltop&blast_rank=20&RID=UFY6UFAB014"",""JAMBYT010000017.1"")"
Pyrenophora tritici-repentis strain SW21-1 contig00084,594,1125,100%,0.0,88.02,95344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYS010000084.1?report=genbank&log$=nucltop&blast_rank=21&RID=UFY6UFAB014"",""JAMBYS010000084.1"")"
Pyrenophora tritici-repentis strain SW21-7 contig00008,594,1125,100%,0.0,88.02,261152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYR010000008.1?report=genbank&log$=nucltop&blast_rank=22&RID=UFY6UFAB014"",""JAMBYR010000008.1"")"
