Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Alternaria ventricosa strain BMP 2768 scaffold_40,720,1566,100%,0.0,97.18,90444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFVLV010000040.1?report=genbank&log$=nucltop&blast_rank=1&RID=YEMYR0BW014"",""JAFVLV010000040.1"")"
Alternaria chlamydospora strain SC11 contig1,842,1417,100%,0.0,84.29,5370705,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000001.1?report=genbank&log$=nucltop&blast_rank=2&RID=YEMYR0BW014"",""JBJYIS010000001.1"")"
Alternaria chlamydospora strain SC11 contig3,830,2747,100%,0.0,82.45,3654769,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000003.1?report=genbank&log$=nucltop&blast_rank=3&RID=YEMYR0BW014"",""JBJYIS010000003.1"")"
"Alternaria atra isolate CS162 genome assembly, contig: 40",824,1250,97%,0.0,82.04,149725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CAJRGZ010000036.1?report=genbank&log$=nucltop&blast_rank=4&RID=YEMYR0BW014"",""CAJRGZ010000036.1"")"
Alternaria chlamydospora strain SC11 contig10,823,1349,100%,0.0,81.84,1889637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000010.1?report=genbank&log$=nucltop&blast_rank=5&RID=YEMYR0BW014"",""JBJYIS010000010.1"")"
Alternaria chlamydospora strain SC11 contig4,821,1399,100%,0.0,81.84,3269079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000004.1?report=genbank&log$=nucltop&blast_rank=6&RID=YEMYR0BW014"",""JBJYIS010000004.1"")"
Alternaria rosae strain MPI-PUGE-AT-0040 BKA58scaffold_5,823,1249,99%,0.0,81.63,2582864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHBNI010000005.1?report=genbank&log$=nucltop&blast_rank=7&RID=YEMYR0BW014"",""JAHBNI010000005.1"")"
Alternaria chlamydospora strain SC11 contig2,809,1305,100%,0.0,80.61,4774163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000002.1?report=genbank&log$=nucltop&blast_rank=8&RID=YEMYR0BW014"",""JBJYIS010000002.1"")"
Alternaria sp. DET2104 NODE_46_length_27470_cov_21.200300,771,1269,100%,0.0,77.96,27464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEROY010000046.1?report=genbank&log$=nucltop&blast_rank=9&RID=YEMYR0BW014"",""JAEROY010000046.1"")"
Alternaria sp. DET2107 NODE_47_length_27404_cov_38.491119,771,1269,100%,0.0,77.96,27404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEROV010000047.1?report=genbank&log$=nucltop&blast_rank=10&RID=YEMYR0BW014"",""JAEROV010000047.1"")"
