Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Bipolaris sivanesaniana strain HL-12 Scaffold14,64.7,64.7,17%,9e-09,32.14,1586083,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBVFXH010000014.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYXEHN2U016"",""JBVFXH010000014.1"")"
Bipolaris sorokiniana strain BRIP27492a chromosome 5,52.8,52.8,19%,4e-05,31.71,2344547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZG01000005"",""SRZG01000005.1"")"
Bipolaris sorokiniana strain WAI2406 chromosome 9,54.7,54.7,14%,1e-05,30.19,2203058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZF01000009"",""SRZF01000009.1"")"
Bipolaris sorokiniana strain BRIP27492a chromosome 3,66.6,66.6,27%,2e-09,29.26,3136435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZG01000003"",""SRZG01000003.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00003,66.6,66.6,27%,2e-09,29.26,3225664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000003.1?report=genbank&log$=nucltop&blast_rank=5&RID=YYXEHN2U016"",""JBBEUP010000003.1"")"
Bipolaris sorokiniana strain BRIP10943a chromosome 2,63.2,63.2,27%,3e-08,28.72,3503463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000002"",""SRZH01000002.1"")"
Bipolaris sorokiniana strain RAJ 3705 contig_232_pilon,63.5,108,27%,2e-08,28.57,56208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFQ010000116.1?report=genbank&log$=nucltop&blast_rank=7&RID=YYXEHN2U016"",""JBJRFQ010000116.1"")"
Bipolaris sorokiniana strain MP 1261 contig_412_pilon,63.5,157,27%,2e-08,28.57,110099,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFM010000151.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYXEHN2U016"",""JBJRFM010000151.1"")"
Bipolaris sorokiniana strain Black contig_265_pilon,63.5,112,27%,2e-08,28.57,110258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFO010000067.1?report=genbank&log$=nucltop&blast_rank=9&RID=YYXEHN2U016"",""JBJRFO010000067.1"")"
Bipolaris sorokiniana strain RAJ 3972 contig_440,63.5,112,27%,2e-08,28.57,954422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFR010000207.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYXEHN2U016"",""JBJRFR010000207.1"")"
