Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Bipolaris sorokiniana strain BRIP10943a chromosome 8,732,1596,100%,0.0,98.87,2108098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000008"",""SRZH01000008.1"")"
Bipolaris sorokiniana strain HD 3091 contig_264,727,1588,100%,0.0,98.59,62411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFT010000060.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYXN6KR6014"",""JBJRFT010000060.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00002,727,1588,100%,0.0,98.59,3396840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000002.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYXN6KR6014"",""JBBEUP010000002.1"")"
Bipolaris sp. L1-2 Contig00029,727,1588,100%,0.0,98.59,3310473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANTPY010000029.1?report=genbank&log$=nucltop&blast_rank=4&RID=YYXN6KR6014"",""JANTPY010000029.1"")"
Bipolaris sorokiniana strain WAI2411 chromosome 3,637,1587,100%,0.0,97.45,3112612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZE01000002"",""SRZE01000002.1"")"
Bipolaris sorokiniana strain (Sacc.) Shoemaker scaffold00033,719,1576,100%,0.0,96.38,63939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/WNKQ01000033"",""WNKQ01000033.1"")"
Bipolaris sorokiniana strain BRIP27492a chromosome 8,719,1576,100%,0.0,96.38,1881846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZG01000008"",""SRZG01000008.1"")"
Bipolaris sorokiniana strain KO 5803 contig_525,717,1578,100%,0.0,96.38,14140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFS010000430.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYXN6KR6014"",""JBJRFS010000430.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000224.3111944,721,1647,100%,0.0,96.10,3111944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000001"",""RCTM01000001.1"")"
Bipolaris sorokiniana strain KO 5803 contig_290,721,1579,100%,0.0,96.10,12419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFS010000272.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYXN6KR6014"",""JBJRFS010000272.1"")"
Bipolaris sorokiniana strain RAJ 3972 contig_275,721,1578,100%,0.0,96.10,993050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFR010000214.1?report=genbank&log$=nucltop&blast_rank=11&RID=YYXN6KR6014"",""JBJRFR010000214.1"")"
Bipolaris sorokiniana strain RAJ 3972 contig_281,721,1578,100%,0.0,96.10,25835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFR010000042.1?report=genbank&log$=nucltop&blast_rank=12&RID=YYXN6KR6014"",""JBJRFR010000042.1"")"
Bipolaris sorokiniana strain Black contig_3_pilon,721,1578,100%,0.0,96.10,982804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJRFO010000086.1?report=genbank&log$=nucltop&blast_rank=13&RID=YYXN6KR6014"",""JBJRFO010000086.1"")"
Bipolaris sorokiniana strain ND93-1 chromosome 3,721,1578,100%,0.0,96.10,3159367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JASPLA010000003.1?report=genbank&log$=nucltop&blast_rank=14&RID=YYXN6KR6014"",""JASPLA010000003.1"")"
Bipolaris sorokiniana strain BRIP10943a chromosome 3,716,1573,100%,0.0,95.83,3230950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000003"",""SRZH01000003.1"")"
Bipolaris gigantea strain 17CL005 17CL005_Mas333_Reference_Scaffold00026,712,1382,100%,0.0,95.82,96356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPG010000026.1?report=genbank&log$=nucltop&blast_rank=16&RID=YYXN6KR6014"",""JANFPG010000026.1"")"
