#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	identity	idPct
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI3285_Chr02_Sanc_ToxTA	+	1	8060	8060	7834/7916	99.0%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI3398_Chr04_Sanc_ToxTA	+	1	8092	8092	7862/7946	98.9%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI2411_Chr02_Sanc_ToxTA	+	1	8097	8097	7866/7948	99.0%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI2431_Chr07_Sanc_ToxTA	+	1	8090	8090	7861/7944	99.0%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI3382_Chr06_Sanc_ToxTA	+	1	8090	8090	7863/7945	99.0%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI3295_tig122_Sanc_ToxTA	+	1	8086	8086	7856/7941	98.9%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI2432_tig045_chr08_chr07_Sanc_ToxTA	+	1	8092	8092	7863/7946	99.0%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	WAI3384_Chr16_Sanc_ToxTA	+	1	8092	8092	7863/7948	98.9%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	SN15_Chr05_Horiz_ToxTA	+	1	7996	7996	7869/7953	98.9%
006_SN-004_tig74rc_ToxTA	+	1	7952	7952	T103-1_tig144_Horizon_Start_ToxTA	+	1	7952	7952	7865/7951	98.9%
006_SN-004_tig74rc_ToxTA	+	1	5112	5112	K9_Horizon_ToxTA	+	1	5179	5179	5023/5112	98.3%
006_SN-004_tig74rc_ToxTA	+	1	5112	5112	K6_Horizon_ToxTA	+	1	5157	5157	5023/5112	98.3%
006_SN-004_tig74rc_ToxTA	+	1	5112	5112	K11_Horizon_ToxTA	+	1	5157	5157	5023/5112	98.3%
006_SN-004_tig74rc_ToxTA	+	1	7954	7954	CS10_Chr08_Sanc_ToxTA	+	1	8099	8099	7868/7954	98.9%
006_SN-004_tig74rc_ToxTA	+	1	13045	13045	Aventri_BMP2768_Sanctuary_ToxTA	+	1	13539	13539	11863/12918	91.8%
006_SN-004_tig74rc_ToxTA	+	1	13166	13166	I73-1_contig_3_Horizon_ToxTA	+	1	13524	13524	12072/12999	92.9%
006_SN-004_tig74rc_ToxTA	+	1	13166	13166	I-34-1_Horizon_ToxTA	+	1	13524	13524	12072/12999	92.9%
006_SN-004_tig74rc_ToxTA	+	1	13166	13166	M4_chr6_Horiz_ToxTA	+	1	13524	13524	12070/12999	92.9%
006_SN-004_tig74rc_ToxTA	+	1	7952	7952	I-33-16_Horizon_ToxTA	+	1	8193	8193	7864/7952	98.9%
006_SN-004_tig74rc_ToxTA	+	1	11012	11012	Den17_Horizon_ToxTA	+	4	11328	11325	10114/10851	93.2%
006_SN-004_tig74rc_ToxTA	+	1	11012	11012	1CBFP_cont1.4_Horiz_ToxTA	+	4	11328	11325	10114/10851	93.2%
006_SN-004_tig74rc_ToxTA	+	1	7117	7117	DAOMC182701_tig02_ToxTA	+	1	7106	7106	7039/7106	99.1%
006_SN-004_tig74rc_ToxTA	+	1	7952	7952	C16-42F_tig894rc_ToxTA_start	+	1	7952	7952	7914/7952	99.5%
006_SN-004_tig74rc_ToxTA	+	1	8683	8683	G211-5_tig03rc_ToxTA	+	1	8683	8683	8624/8683	99.3%
006_SN-004_tig74rc_ToxTA	+	1	14058	14058	Pnod_LDN03-Sn4_Chr08_ToxTA	+	1	14057	14057	14032/14057	99.8%
006_SN-004_tig74rc_ToxTA	+	1	13166	13166	S419-22F_tig62_ToxTA	+	1	13166	13166	13166/13166	100.0%
006_SN-004_tig74rc_ToxTA	+	1	14058	14058	Pnod_Sn2000_Chr08_ToxTA	+	1	14058	14058	13989/14058	99.5%
006_SN-004_tig74rc_ToxTA	+	1	14058	14058	S415-3_tig05_ToxTA	+	1	14058	14058	14041/14058	99.9%
006_SN-004_tig74rc_ToxTA	+	1	14058	14058	B313-13_tig31rc_ToxTA	+	1	14058	14058	14045/14058	99.9%
006_SN-004_tig74rc_ToxTA	+	1	14058	14058	006_SN-004_tig74rc_ToxTA	+	1	14058	14058	14058/14058	100.0%
006_SN-004_tig74rc_ToxTA	+	5053	7954	2902	K6_Horizon_ToxTA	+	6624	9669	3046	2876/2902	99.1%
006_SN-004_tig74rc_ToxTA	+	5053	7954	2902	K9_Horizon_ToxTA	+	6646	9691	3046	2877/2902	99.1%
006_SN-004_tig74rc_ToxTA	+	5053	7954	2902	K11_Horizon_ToxTA	+	6624	9669	3046	2877/2902	99.1%
006_SN-004_tig74rc_ToxTA	+	7113	13313	6201	DAOMC182701_tig02_ToxTA	+	8582	14369	5788	4980/5718	87.1%
006_SN-004_tig74rc_ToxTA	+	7942	8364	423	T103-1_tig144_Horizon_Start_ToxTA	+	8485	8905	421	380/421	90.3%
006_SN-004_tig74rc_ToxTA	+	7942	8710	769	I-33-16_Horizon_ToxTA	+	8726	9500	775	691/767	90.1%
006_SN-004_tig74rc_ToxTA	+	7942	8877	936	M4_chr6_Horiz_ToxTA	+	8726	9661	936	841/934	90.0%
006_SN-004_tig74rc_ToxTA	+	7942	8877	936	I73-1_contig_3_Horizon_ToxTA	+	8726	9661	936	841/934	90.0%
