Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Bipolaris sorokiniana strain BRIP10943a chromosome 8,4682,4682,100%,0.0,100.00,2108098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000008"",""SRZH01000008.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00002,4642,4642,100%,0.0,99.65,3396840,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000002.1?report=genbank&log$=nucltop&blast_rank=2&RID=SVDKVK3N014"",""JBBEUP010000002.1"")"
Bipolaris sp. L1-2 Contig00029,4642,4642,100%,0.0,99.65,3310473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANTPY010000029.1?report=genbank&log$=nucltop&blast_rank=3&RID=SVDKVK3N014"",""JANTPY010000029.1"")"
Bipolaris sorokiniana strain WAI2406 chromosome 1,4624,4624,100%,0.0,99.58,4014556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZF01000001"",""SRZF01000001.1"")"
Alternaria ventricosa strain BMP 2768 scaffold_40,4538,4538,100%,0.0,98.77,90444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFVLV010000040.1?report=genbank&log$=nucltop&blast_rank=5&RID=SVDKVK3N014"",""JAFVLV010000040.1"")"
Bipolaris sorokiniana strain BRIP27492a chromosome 8,4529,4529,100%,0.0,98.69,1881846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZG01000008"",""SRZG01000008.1"")"
Bipolaris sorokiniana strain (Sacc.) Shoemaker scaffold00033,4525,4525,100%,0.0,98.65,63939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/WNKQ01000033"",""WNKQ01000033.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000224.3111944,4488,4565,100%,0.0,98.34,3111944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000001"",""RCTM01000001.1"")"
Bipolaris sorokiniana strain ND93-1 chromosome 3,4488,4488,100%,0.0,98.34,3159367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JASPLA010000003.1?report=genbank&log$=nucltop&blast_rank=9&RID=SVDKVK3N014"",""JASPLA010000003.1"")"
Bipolaris sorokiniana strain BRIP10943a chromosome 3,4479,4479,100%,0.0,98.23,3230950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000003"",""SRZH01000003.1"")"
Bipolaris gigantea strain 17CL005 17CL005_Mas333_Reference_Scaffold00026,4458,4458,100%,0.0,98.11,96356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPG010000026.1?report=genbank&log$=nucltop&blast_rank=11&RID=SVDKVK3N014"",""JANFPG010000026.1"")"
Bipolaris gigantea strain 17CL014 17CL014_Mas333_Reference_Scaffold00164,4458,4458,100%,0.0,98.11,50774,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPF010000164.1?report=genbank&log$=nucltop&blast_rank=12&RID=SVDKVK3N014"",""JANFPF010000164.1"")"
Bipolaris gigantea strain 17MA018 17MA004_Mas333_Reference_Scaffold00087,4458,4458,100%,0.0,98.11,71236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPC010000087.1?report=genbank&log$=nucltop&blast_rank=13&RID=SVDKVK3N014"",""JANFPC010000087.1"")"
Bipolaris gigantea strain 17UKY004 17UKY004_Mas330_Scaffold00025,4458,4458,100%,0.0,98.11,51425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPB010000025.1?report=genbank&log$=nucltop&blast_rank=14&RID=SVDKVK3N014"",""JANFPB010000025.1"")"
Bipolaris sorokiniana strain WAI2406 chromosome 3,4455,4530,100%,0.0,98.15,3123712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZF01000003"",""SRZF01000003.1"")"
Bipolaris sorokiniana strain WAI2411 chromosome 3,4433,4509,100%,0.0,97.96,3112612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZE01000002"",""SRZE01000002.1"")"
Exserohilum rostratum strain ZM170581 NODE_47_length_113461_cov_15.891171,4077,4077,100%,0.0,94.84,113461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHALU010000047.1?report=genbank&log$=nucltop&blast_rank=17&RID=SVDKVK3N014"",""JAHALU010000047.1"")"
Bipolaris sp. L1-2 Contig00002,4043,4043,100%,0.0,94.53,2531605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANTPY010000002.1?report=genbank&log$=nucltop&blast_rank=18&RID=SVDKVK3N014"",""JANTPY010000002.1"")"
Bipolaris gigantea strain 17LC008 17LC008_Mas339_Reference_Scaffold00050,4043,4043,100%,0.0,94.53,98883,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPE010000050.1?report=genbank&log$=nucltop&blast_rank=19&RID=SVDKVK3N014"",""JANFPE010000050.1"")"
Bipolaris sorokiniana strain WAI2411 chromosome 2 WAI2411_contig_17_racon3,4001,4001,100%,0.0,94.24,776846,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZE01000017"",""SRZE01000017.1"")"
Bipolaris sorokiniana strain WAI2406 chromosome 11,3888,4019,100%,0.0,93.24,2132657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZF01000011"",""SRZF01000011.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00010,3767,5451,100%,0.0,92.23,1956542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000010.1?report=genbank&log$=nucltop&blast_rank=22&RID=SVDKVK3N014"",""JBBEUP010000010.1"")"
Curvularia eragrostidis strain C52 isolate Optical lens scaffold_158,3745,3745,100%,0.0,92.04,37528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRCK010000158.1?report=genbank&log$=nucltop&blast_rank=23&RID=SVDKVK3N014"",""JAIRCK010000158.1"")"
Bipolaris victoriae FI3 Cvic_tig06,3696,3696,100%,0.0,91.57,2461692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AMCY02000006"",""AMCY02000006.1"")"
Curvularia lunata CX-3 scaffold94_1,3690,3690,100%,0.0,91.58,33866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/JFHG01002349"",""JFHG01002349.1"")"
"Curvularia pisi isolate BF9368 genome assembly, contig: Scaffold_97",3683,3683,100%,0.0,91.49,71122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBCPGI010000097.1?report=genbank&log$=nucltop&blast_rank=26&RID=SVDKVK3N014"",""CBCPGI010000097.1"")"
Alternaria chlamydospora strain SC11 contig1,3626,3626,100%,0.0,91.01,5370705,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000001.1?report=genbank&log$=nucltop&blast_rank=27&RID=SVDKVK3N014"",""JBJYIS010000001.1"")"
Bipolaris maydis strain BM-1-MG-1 contig_111,3579,3579,100%,0.0,90.64,1861250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMFQD010000043.1?report=genbank&log$=nucltop&blast_rank=28&RID=SVDKVK3N014"",""JAMFQD010000043.1"")"
Bipolaris gigantea isolate BG_F utg8_pilon_pilon,3564,3564,100%,0.0,90.50,698541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBXZX010000003.1?report=genbank&log$=nucltop&blast_rank=29&RID=SVDKVK3N014"",""JBBXZX010000003.1"")"
Bipolaris gigantea strain 17MA004 17MA004-new_Mas3.3_Scaffold01388,3564,3564,100%,0.0,90.50,5757,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPD010001388.1?report=genbank&log$=nucltop&blast_rank=30&RID=SVDKVK3N014"",""JANFPD010001388.1"")"
Bipolaris gigantea strain 18NL004 18NL004-new_Mas3.3_Scaffold00569,3564,3564,100%,0.0,90.50,20653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPA010000569.1?report=genbank&log$=nucltop&blast_rank=31&RID=SVDKVK3N014"",""JANFPA010000569.1"")"
Bipolaris gigantea isolate 15JK003 15JK03_V_Contig00439,3564,3564,100%,0.0,90.50,22489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALPSE010000439.1?report=genbank&log$=nucltop&blast_rank=32&RID=SVDKVK3N014"",""JALPSE010000439.1"")"
Bipolaris sorokiniana strain (Sacc.) Shoemaker scaffold00003,3562,3562,100%,0.0,90.40,2119570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/WNKQ01000003"",""WNKQ01000003.1"")"
Bipolaris gigantea strain 17CL005 17CL005_Mas333_Reference_Scaffold00103,3560,3560,100%,0.0,90.46,59215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPG010000103.1?report=genbank&log$=nucltop&blast_rank=34&RID=SVDKVK3N014"",""JANFPG010000103.1"")"
Bipolaris gigantea strain 17LC008 17LC008_Mas339_Reference_Scaffold00397,3560,3560,100%,0.0,90.46,32389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPE010000397.1?report=genbank&log$=nucltop&blast_rank=35&RID=SVDKVK3N014"",""JANFPE010000397.1"")"
