Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Alternaria sp. 'sect. Undifilum' strain W740-01 Contig00001,766,766,97%,0.0,65.74,13242267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJJZI010000001.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYX36PHY016"",""JAJJZI010000001.1"")"
Alternaria brassicicola strain Altbr1 scaffold_8,167,216,80%,4e-41,30.43,1144500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJMVC010000008.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYX36PHY016"",""JAJMVC010000008.1"")"
Alternaria alternata strain P02PL2 NODE_79,143,417,94%,3e-33,27.76,36914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBDIFV010000079.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYX36PHY016"",""JBDIFV010000079.1"")"
Alternaria alternata strain KAS5743 NODE_86_length_4670_cov_23.088371,93.6,93.6,66%,2e-17,21.00,4670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAERND010000086.1?report=genbank&log$=nucltop&blast_rank=4&RID=YYX36PHY016"",""JAERND010000086.1"")"
"Alternaria alternata strain RS048 genome assembly, contig: scaf_3",90.9,90.9,62%,1e-16,21.97,3354229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHY010000010.1?report=genbank&log$=nucltop&blast_rank=5&RID=YYX36PHY016"",""CBIHHY010000010.1"")"
Alternaria angustiovoidea strain FKII-L2-CM-DRAB1 NODE_91_length_3876_cov_21.821006,89.0,89.0,60%,5e-16,21.48,3876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAKLNJ010000091.1?report=genbank&log$=nucltop&blast_rank=6&RID=YYX36PHY016"",""JAKLNJ010000091.1"")"
Alternaria alternata strain FERA 1177 contig_37,89.0,89.0,60%,6e-16,21.48,294249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PDXD01000037"",""PDXD01000037.1"")"
Alternaria gaisen strain D9 Scaffold178,88.6,88.6,60%,7e-16,21.72,22554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUL010000178.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYX36PHY016"",""JAJAUL010000178.1"")"
Alternaria gaisen strain X3 Scaffold148,88.6,88.6,60%,7e-16,21.72,22628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUV010000148.1?report=genbank&log$=nucltop&blast_rank=9&RID=YYX36PHY016"",""JAJAUV010000148.1"")"
Alternaria gaisen strain X2 Scaffold165,88.6,88.6,60%,7e-16,21.72,22844,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUU010000165.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYX36PHY016"",""JAJAUU010000165.1"")"
Alternaria gaisen strain D7 Scaffold156,88.6,88.6,60%,7e-16,21.72,22847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUJ010000156.1?report=genbank&log$=nucltop&blast_rank=11&RID=YYX36PHY016"",""JAJAUJ010000156.1"")"
